,input,output,a,b,SMILES
32,1l+2e,3le,87,0,[Si](CC=C)(OC)(OC)OC.[SiH]([Si](C)(C)C)([Si](C)(C)C)[Si](C)(C)C>>[Si](CCC[Si]([Si](C)(C)C)([Si](C)(C)C)[Si](C)(C)C)(OC)(OC)OC
33,1m+2b,3mb,41,50,[Si](C=C)(CCCCC)(CCCCC)CCCCC.[SiH](c1ccccc1)(C)C>>[Si](CC[Si](c1ccccc1)(C)C)(CCCCC)(CCCCC)CCCCC
34,1m+2c,3mc,77,63,[Si](C=C)(CCCCC)(CCCCC)CCCCC.[SiH](c1ccccc1)(c1ccccc1)C>>[Si](CC[Si](c1ccccc1)(c1ccccc1)C)(CCCCC)(CCCCC)CCCCC
35,1m+2d,3md,83,87,[Si](C=C)(CCCCC)(CCCCC)CCCCC.[SiH](c1ccccc1)(c1ccccc1)c1ccccc1>>[Si](CC[Si](c1ccccc1)(c1ccccc1)c1ccccc1)(CCCCC)(CCCCC)CCCCC
36,1m+2e,3me,85,0,[Si](C=C)(CCCCC)(CCCCC)CCCCC.[SiH]([Si](C)(C)C)([Si](C)(C)C)[Si](C)(C)C>>[Si](CC[Si]([Si](C)(C)C)([Si](C)(C)C)[Si](C)(C)C)(CCCCC)(CCCCC)CCCCC
37,1n+2b,3nb,53,63,[Si](C=C)(C)(O[Si](C)(C)C)O[Si](C)(C)C.[SiH](c1ccccc1)(C)C>>[Si](CC[Si](c1ccccc1)(C)C)(O[Si](C)(C)C)(O[Si](C)(C)C)C
38,1n+2c,3nc,58,66,[Si](C=C)(C)(O[Si](C)(C)C)O[Si](C)(C)C.[SiH](c1ccccc1)(c1ccccc1)C>>[Si](CC[Si](c1ccccc1)(c1ccccc1)C)(O[Si](C)(C)C)(O[Si](C)(C)C)C
39,1n+2d,3nd,67,67,[Si](C=C)(C)(O[Si](C)(C)C)O[Si](C)(C)C.[SiH](c1ccccc1)(c1ccccc1)c1ccccc1>>[Si](CC[Si](c1ccccc1)(c1ccccc1)c1ccccc1)(O[Si](C)(C)C)(O[Si](C)(C)C)C
40,1n+2e,3ne,88,0,[Si](C=C)(C)(O[Si](C)(C)C)O[Si](C)(C)C.[SiH]([Si](C)(C)C)([Si](C)(C)C)[Si](C)(C)C>>[Si](CC[Si]([Si](C)(C)C)([Si](C)(C)C)[Si](C)(C)C)(O[Si](C)(C)C)(C)O[Si](C)(C)C
41,1o+2b,3ob,50,51,[Si](C=C)(C)(C)OCC.[SiH](c1ccccc1)(C)C>>[Si](CC[Si](c1ccccc1)(C)C)(C)(OCC)C
